defendant_zip,total_filed,total_default,total_judgment,total_plaintiff_won,total_immediate,median_principal,n_d_attorney,cases_plaintiff_business
23850,22,6,13,13,9,1800,2,10
23851,1434,515,717,674,60,990,9,656
23856,17,5,11,8,5,3618.75,0,3
23857,7,2,5,4,1,1393.6100000000001,0,3
23858,1,1,1,1,0,0,0,1
23860,5059,2089,3010,2998,1116,1050,12,3839
23863,1,0,0,0,0,0,0,0
23866,25,13,19,14,2,1700,0,6
23867,161,61,123,111,52,933.235,2,112
23868,307,66,142,136,52,1263,5,154
23870,3,2,3,3,1,2700,0,0
23872,116,35,63,63,32,1350,1,84
23874,19,6,11,10,1,1050,2,4
23875,2767,264,1245,1252,397,1251.1399999999999,10,2304
23876,8,2,5,5,2,1000,2,1
23878,11,2,6,5,3,600,1,4
23879,20,1,15,15,2,1558,0,0
23881,47,13,28,28,5,462,0,25
23882,31,13,24,21,12,1737.5,0,6
23883,65,19,34,34,8,1250,0,42
23884,1,0,0,1,1,0,0,0
23885,51,16,26,26,18,1280,0,18
23887,2,0,2,1,0,6000,0,0
23888,66,13,33,25,11,1842,0,32
23889,20,3,14,14,1,1805.78,0,3
23890,236,101,161,140,81,1160,3,135
23893,8,4,6,6,2,1300,1,1
23894,5,3,4,4,2,3690,0,2
23897,9,5,9,8,2,3800,0,2
23898,20,6,9,8,5,2270,0,7
23899,3,2,3,3,1,1792.42,0,2
23901,907,191,378,377,125,1570,9,492
23915,14,2,3,3,0,2500,0,0
23917,34,13,20,20,0,1800,1,3
23919,46,12,21,21,1,2500,1,9
23920,74,27,51,47,12,1200,1,7
23921,53,8,21,16,2,1725,0,12
23922,40,13,26,25,7,2640,1,13
23923,72,28,38,38,10,850,0,44
23924,143,39,68,68,2,943,2,49
23927,118,39,63,63,4,630,0,24
23930,256,93,157,158,37,1690,3,145
23931,1,0,1,1,0,1330,0,0
23932,1,0,0,0,1,0,0,1
23934,17,6,12,11,5,1600,0,7
23936,152,26,77,71,12,1300,1,71
23937,86,35,50,49,14,850,2,55
23938,3,0,2,2,1,2275,0,0
23939,2,2,2,2,1,0,0,2
23942,36,16,28,28,10,1712.5,0,2
23944,92,24,54,53,2,1500.87,0,13
23947,186,71,114,112,35,1082.5,1,93
23950,64,17,33,33,1,1200,3,20
23952,2,0,1,1,0,0,0,0
23954,91,24,46,45,17,1675,0,32
23958,116,31,60,60,22,975,2,72
23959,14,4,7,7,3,978.3050000000001,0,2
23960,63,14,30,29,11,1775,0,17
23961,1,0,0,0,0,0,0,0
23962,8,3,6,6,0,1000,0,2
23963,3,1,2,2,1,3150,0,1
23964,7,1,2,2,0,900,1,1
23966,65,11,29,30,9,2250,0,11
23967,15,7,12,12,3,700,0,2
23968,13,1,3,3,1,2235,1,6
23970,395,109,177,177,2,1252,2,227
23974,148,39,85,82,4,1098.45,2,25
23976,10,2,4,4,2,675,0,1
23980,1,0,0,0,0,0,0,1
24001,4,2,2,2,0,4582.29,0,4
24009,1,0,0,0,0,0,0,1
24010,3,2,3,3,3,1600,0,2
24011,93,18,32,32,7,2178.5,4,90
24012,3104,1174,1681,1670,766,1350,56,2361
24013,1410,519,813,809,317,1407.925,41,892
24014,1377,546,798,792,355,1200,27,1123
24015,1529,529,776,774,253,1377,31,1116
24016,2033,727,1179,1168,443,1460,74,1529
24017,4473,1529,2399,2377,1014,1450,116,3521
24018,1151,382,645,632,177,2140,26,968
24019,1137,379,530,525,199,1687.995,28,925
24022,1,0,0,0,0,0,1,0
24023,1,0,1,1,1,5180,0,1
24037,1,0,1,1,0,300,0,0
24039,1,0,0,0,0,0,0,1
24049,1,0,0,0,0,0,0,1
24053,51,18,27,27,1,1280,1,17
24054,119,35,68,67,13,795,2,43
24055,488,171,280,278,5,1125,6,208
24058,2,1,1,1,0,425,0,1
24059,15,4,9,8,5,2235,0,6
24060,1840,813,990,987,54,860.87,6,1645
24062,1,0,1,1,0,0,1,1
24063,2,0,1,1,0,5400,1,2
24064,60,17,44,43,13,2814,3,22
24065,108,38,72,72,36,2371,2,37
24066,76,25,47,44,20,2177.5,2,39
24067,19,8,12,11,5,1100,3,3
24068,18,12,14,14,0,589.9649999999999,0,17
24069,109,47,73,71,36,1155,1,75
24070,22,6,12,12,3,1200,5,8
24072,17,6,14,14,0,2400,1,6
24073,1850,726,1029,1025,59,1114.57,45,1519
24076,27,11,17,16,0,1700,0,8
24077,89,44,54,54,25,879.5,0,78
24078,508,198,299,297,2,1080,0,347
24079,38,9,26,26,0,1375,1,27
24082,2,0,2,2,0,2800,0,1
24083,35,11,13,13,4,2395.275,1,31
24084,594,223,359,357,130,962,14,435
24085,15,5,11,10,2,1800,0,3
24086,1,0,0,0,0,0,0,0
24087,175,62,99,98,8,1165,2,112
24088,58,21,46,45,22,1830.835,2,16
24089,66,32,47,45,0,975,2,22
24090,42,23,33,33,12,2600,0,13
24091,84,24,61,61,2,1600,5,17
24092,68,21,44,40,18,1820,14,35
24093,15,4,8,8,0,1849.81,0,11
24095,107,38,68,65,15,1200,2,48
24101,77,34,52,48,27,1600,2,37
24102,28,7,18,18,10,2392.5,1,6
24103,1,0,0,0,0,0,0,1
24104,35,13,24,24,9,2050,0,7
24105,2,1,2,2,0,5400,0,0
24109,1,1,1,1,1,1755,0,1
24112,2634,931,1464,1461,10,1155,38,1692
24114,3,1,3,3,0,1800,0,3
24115,4,1,1,1,0,4235,0,4
24118,4,2,2,2,1,703,0,0
24120,11,3,5,4,0,1300,0,3
24121,217,72,133,132,45,1500,9,111
24122,45,13,34,33,9,1439.26,1,17
24124,98,42,61,61,7,775,2,26
24126,4,1,2,2,1,885.24,0,0
24127,67,17,39,39,11,1600,1,32
24128,38,6,16,16,2,1507.5,1,12
24129,2,1,1,1,0,4223.5,0,1
24131,1,1,1,1,0,0,0,0
24132,4,0,2,2,0,0,1,0
24133,25,9,11,10,0,2100,0,3
24134,264,71,102,99,2,1375,5,195
24136,144,57,75,75,2,1505.5,2,84
24137,37,15,29,30,12,1800,3,14
24138,17,2,6,6,0,2110,3,9
24139,9,3,6,6,4,1533,0,4
24141,1477,507,772,768,254,1739,35,1078
24142,1,1,1,1,0,3000,0,0
24143,4,1,2,2,0,126,2,1
24147,51,16,22,23,0,354,1,43
24148,258,85,139,135,0,1200,2,134
24149,46,18,27,27,3,1663.4850000000001,0,34
24150,9,4,8,8,0,1680.2649999999999,0,1
24151,741,307,497,491,274,1299.17,14,393
24153,2172,623,1082,1068,289,1643.415,30,1656
24156,1,0,0,0,0,0,0,1
24161,8,3,6,5,2,300,1,2
24162,113,53,71,70,2,1210,2,96
24165,32,11,21,22,0,1400,0,16
24167,1,0,1,1,0,0,0,1
24168,9,2,4,4,0,4850,0,4
24171,130,35,85,84,2,875,1,48
24174,40,14,30,28,3,1925,0,13
24175,83,35,57,56,19,2567.32,0,27
24176,26,11,18,18,7,2100,0,10
24179,1176,413,645,632,211,1510,28,905
24184,139,61,94,93,40,1400,8,80
24185,6,1,4,5,0,3245,0,0
24201,2290,544,1067,1048,372,629,12,1142
24202,267,101,210,195,89,1450,3,86
24206,1,1,1,1,0,2000,0,1
24209,2,0,2,2,1,2330,0,1
24210,619,194,401,381,156,1341.5,7,264
24211,165,42,98,91,39,1211,2,70
24212,3,1,2,2,0,1337.5,0,1
24216,197,116,136,128,23,502,0,164
24217,1,0,0,0,0,0,0,1
24219,370,173,220,208,24,1100,3,175
24220,5,1,3,3,0,1600,0,0
24221,2,0,0,0,0,0,1,0
24224,70,15,46,48,3,625,3,16
24225,21,4,14,13,1,936.75,0,3
24226,10,0,4,4,1,1702,0,1
24228,45,15,33,33,6,1393,2,10
24230,305,138,176,170,28,509.5,5,198
24235,2,0,1,1,0,0,0,1
24236,110,38,83,79,39,1000,1,17
24237,26,12,17,17,4,990,0,15
24239,1,1,1,1,0,4500,0,0
24240,1,1,1,1,0,1370,0,0
24241,2,2,2,2,1,2210,0,0
24243,46,20,28,31,7,1037.5,2,26
24244,60,21,39,34,7,809.015,5,26
24245,13,2,9,10,1,700,0,9
24246,5,1,1,1,0,1450,0,0
24248,26,4,12,13,3,1000,2,3
24250,8,1,6,6,1,1715,1,0
24251,121,39,89,85,11,1460,7,30
24256,59,16,40,36,13,690,1,31
24258,6,3,3,3,0,1700,1,0
24260,78,22,50,50,5,750,1,9
24263,94,31,58,62,6,1200,1,33
24265,13,5,9,9,2,1625,0,1
24266,119,39,71,70,8,912.5,0,63
24269,2,2,2,2,1,986,0,1
24270,9,2,4,5,0,3182.5,2,3
24271,31,10,21,22,2,2200,0,6
24272,4,1,2,1,0,3034.5,1,0
24273,172,78,105,104,18,590,1,98
24277,212,66,114,126,20,850,1,44
24279,101,61,72,69,11,465,0,72
24280,3,1,1,1,1,0,0,2
24281,31,9,17,16,0,689.5,1,13
24282,39,16,20,22,5,626.5,3,6
24283,75,29,45,41,6,1007.505,0,58
24290,36,12,30,29,3,1650,0,11
24292,3,0,2,2,0,375,0,0
24293,262,163,187,183,37,1200,2,174
24301,979,339,619,609,198,1235,18,702
24307,1,0,1,1,0,1200,0,1
24311,57,19,45,44,31,1185,2,26
24312,22,12,21,21,2,1500,1,4
24313,14,3,9,10,1,1350,0,3
24314,3,1,2,2,1,0,0,1
24315,12,3,8,8,1,3800,1,5
24316,1,1,1,1,0,1430,0,0
24317,66,26,48,50,1,899.23,2,5
24318,5,1,3,3,0,350,0,0
24319,186,71,131,127,75,750,4,84
24322,4,0,3,3,0,1050,1,0
24323,14,4,7,6,0,0,0,2
24324,20,6,13,12,5,1875,1,4
24325,10,5,9,9,0,0,1,6
24326,7,2,6,6,1,400,0,4
24327,1,0,1,1,0,0,0,1
24328,32,13,24,23,2,950,0,11
24330,43,24,35,31,1,1337.5,0,14
24333,473,152,322,314,9,996,3,136
24340,124,49,101,95,42,1177.5,1,46
24343,227,71,158,156,4,1100,2,115
24345,1,1,1,1,0,200,0,0
24347,21,5,15,15,1,2289.25,1,5
24348,58,15,38,37,3,576.5,0,26
24350,12,5,9,8,1,365,1,2
24351,6,4,4,4,1,849.26,0,3
24352,6,4,5,5,0,1875,0,0
24354,624,213,448,441,271,1054.5,8,168
24360,103,39,75,71,10,1872,3,40
24361,85,36,70,63,28,1400,1,33
24362,1,0,1,1,0,751,0,1
24363,6,1,6,5,0,1035,0,1
24366,9,3,4,4,0,2400,1,1
24368,100,41,80,79,16,1080,3,29
24370,130,41,103,101,55,950,2,51
24374,25,7,18,18,1,1550,0,1
24375,29,18,25,25,17,735,0,16
24377,2,1,2,1,1,2477,0,1
24378,13,3,8,7,1,1067.5,1,2
24380,47,13,29,28,0,750,2,5
24381,78,27,53,52,1,1000,1,34
24382,680,214,468,451,58,1203.51,18,372
24401,1905,611,1014,999,274,1250,42,1102
24402,2,0,1,1,0,5050,1,1
24407,1,0,0,0,0,0,0,1
24411,1,0,0,0,0,0,0,0
24413,1,0,1,1,0,8550,0,0
24416,426,138,248,250,12,1200,25,222
24421,37,11,21,20,0,1475,3,8
24422,450,173,260,258,62,995.1,16,294
24426,526,170,283,282,69,1279.5,10,223
24430,79,20,37,37,2,1300,2,56
24431,92,33,54,52,6,1467,1,61
24432,2,0,1,1,0,1800,0,0
24435,41,11,22,22,7,1350,5,16
24437,7,1,3,3,0,1350,0,3
24438,1,1,1,1,0,1000,0,0
24439,31,13,27,25,10,600,1,4
24440,53,18,31,30,1,1430,2,15
24441,425,108,143,141,39,969.255,9,388
24442,1,0,1,1,0,950,0,1
