NAME,total_filed19,total_filed1819,total_pop,housing_units,rental_units,rental_pop,pct_pov,total_burdened,total_moved,total_students,n_serial,n_cases_filed_by_businesses,total_plaintiffs,n_business_plaintiffs,n_plaintiffs_serial,landarea_sqmi,court,fips,GEOID,eviction_rate19,pct_rental_units,pct_burdened,exploit,pct_moved,pct_students,pct_serial,pct_business,prop_landlord_serial,pop_density,dissim_wb,dissim_wh,cowhite,percent_white
dickenson county,29,46,14756,7577,1404,3414,25.7,623,380,489,1,4,33,4,1,330.450561529607,Dickenson General District Court,051,51051,0.020655270655270654,18.529761119176456,44.37321937321938,1.3097345132743363,11.130638547158759,3.313906207644348,2.1739130434782608,12.121212121212121,0.030303030303030304,44.65418346301682,0.4416384774866825,0.4368410361220769,14401,97.59419896991054
dinwiddie county,391,828,28485,11758,2374,6376,12.1,1017,1486,1724,388,649,184,56,23,503.88412363747926,Dinwiddie General District Court,053,51053,0.16470092670598147,20.190508589896243,42.83909014321819,0.8340248962655602,23.306148055207025,6.052308232403019,46.85990338164252,30.434782608695656,0.125,56.53085434478505,0.248891850133504,0.611920360032391,17619,61.85360716166404
emporia city,137,243,5442,2385,1249,3081,27,725,714,240,28,132,95,37,14,6.9039201377025625,Emporia General District Court,595,51595,0.10968775020016013,52.36897274633123,58.04643714971978,0.871859296482412,23.17429406037001,4.410143329658213,11.522633744855968,38.94736842105263,0.14736842105263157,788.2478202899592,0.46245183457014694,0.5576786403232684,1331,24.45791988239618
essex county,153,306,10998,5855,1499,3911,16.8,725,1001,443,116,207,79,25,13,257.08818082986556,Essex General District Court,057,51057,0.10206804536357572,25.602049530315966,48.36557705136758,0.6258840169731259,25.594477115827154,4.028005091834879,37.908496732026144,31.645569620253166,0.16455696202531644,42.779096123746726,0.18458869206018932,0.3976653136135895,6032,54.84633569739953
falls church city,37,82,14128,6004,2289,5128,3.2,942,1783,886,26,79,24,21,8,2.0464426072073456,Falls Church General District Court,610,51610,0.01616426387068589,38.12458361092605,41.15334207077326,0.1920979524642453,34.769890795631824,6.2712344280860695,31.70731707317073,87.5,0.3333333333333333,6903.687379378605,0.2745844212882188,0.28290028870369455,10135,71.73697621744054
fauquier county,293,566,69728,26894,5333,14222,5.8,1871,3154,3400,114,388,236,90,29,648.0060518424775,Fauquier General District Court,061,51061,0.05494093380836302,19.829701792221314,35.083442715169696,0.3766539253160835,22.176909014203346,4.876089949518128,20.141342756183743,38.13559322033898,0.1228813559322034,107.60393333016285,0.17133174520466077,0.2676152798105159,55749,79.9520995869665
floyd county,45,99,15704,8048,1226,3094,10.3,340,419,292,1,38,66,14,1,380.92284130571875,Floyd General District Court,063,51063,0.0367047308319739,15.233598409542742,27.732463295269167,0.6932153392330384,13.542340012928248,1.859398879266429,1.0101010101010102,21.21212121212121,0.015151515151515152,41.22619674412325,0.09521857923497268,0.4550599673550493,14640,93.22465613856342
fluvanna county,48,92,26594,10948,1491,3582,5.5,436,907,1690,5,29,77,18,3,287.11730876292444,Fluvanna General District Court,065,51065,0.03219315895372234,13.618925831202047,29.242119382964454,0.6801169590643275,25.321049692908986,6.354816875987064,5.434782608695652,23.376623376623375,0.03896103896103896,92.62416158253603,0.22432017237443183,0.25733090004857984,20789,78.17176806798525
franklin city,304,610,8147,3847,1706,3950,14.7,895,654,376,215,188,117,40,14,8.277341892034176,Franklin City General District Court,620,51620,0.17819460726846426,44.3462438263582,52.461899179366945,0.7232968881412952,16.556962025316455,4.615195777586842,35.24590163934426,34.18803418803419,0.11965811965811966,984.2531704339032,0.5896614573530987,0.18366078366078364,3003,36.86019393641831
franklin county,230,463,56187,29898,4199,10254,14.5,1665,2419,2983,53,188,259,58,17,690.6221349047897,Franklin County General District Court,067,51067,0.05477494641581329,14.044417686801793,39.652298166230054,0.7226061204343535,23.59079383655159,5.309057255236977,11.447084233261338,22.393822393822393,0.06563706563706563,81.3570795956982,0.359674280963231,0.3291962442540791,48995,87.19988609464822
frederick county,417,814,86415,34161,7053,17090,6.2,2509,3544,3742,177,571,287,110,32,413.16869757046373,Frederick General District Court,069,51069,0.0591237771161208,20.646351102134012,35.57351481639019,0.8395522388059702,20.737273259215915,4.330266736099056,21.744471744471745,38.32752613240418,0.11149825783972125,209.15185615014406,0.34775419310034184,0.3046856538999103,72104,83.43921772840363
fredericksburg city,1132,2329,28622,11725,6945,16130,15.5,3303,5905,4448,937,2142,214,96,47,10.450691646034976,Fredericksburg General District Court,630,51630,0.16299496040316774,59.23240938166311,47.559395248380135,0.5070536074163644,36.60880347179169,15.540493326811545,40.231859167024474,44.85981308411215,0.21962616822429906,2738.7660998360116,0.2961796918113807,0.19560450792544423,17006,59.41583397386626
galax city,46,92,6517,3327,849,1755,23.8,431,348,323,8,32,48,19,4,8.236360622660776,Galax General District Court,640,51640,0.05418138987043581,25.51848512173129,50.765606595995294,0.7694369973190348,19.82905982905983,4.956268221574344,8.695652173913043,39.58333333333333,0.08333333333333333,791.247530137245,0.07502622917834406,0.13649007397552215,5154,79.08546877397575
giles county,145,266,16772,8357,1723,4166,10.2,495,894,602,62,161,96,31,8,357.2237412982708,Giles General District Court,071,51071,0.08415554265815438,20.617446452076106,28.728961114335462,0.8073817762399077,21.459433509361496,3.589315525876461,23.308270676691727,32.29166666666667,0.08333333333333333,46.950966749984005,0.3870993222944103,0.2654261559796204,15921,94.92606725494872
gloucester county,324,645,37222,16571,3217,7941,8.8,1363,1867,2200,258,527,158,74,24,217.80977179007115,Gloucester General District Court,073,51073,0.1007149518184644,19.413433106028606,42.36866645943426,0.754874651810585,23.510892834655586,5.910483047659986,40,46.835443037974684,0.1518987341772152,170.89224094075638,0.1655916946841222,0.16452777927215306,31586,84.85841706517651
goochland county,48,118,22865,9290,1286,3113,5.2,345,788,821,26,81,56,23,4,280.63063803266124,Goochland General District Court,075,51075,0.03732503888024884,13.842841765339076,26.827371695178847,0.650511577813678,25.31320269836171,3.590640717253444,22.033898305084744,41.07142857142857,0.07142857142857142,81.47720491352356,0.2514567523749894,0.32181743519974115,17776,77.7432757489613
grayson county,46,89,15742,9239,1216,2901,20.9,379,481,529,5,33,68,19,4,441.78535337672014,Grayson General District Court,077,51077,0.03782894736842105,13.161597575495184,31.167763157894733,0.8137715179968701,16.580489486384007,3.3604370473891505,5.617977528089887,27.941176470588236,0.058823529411764705,35.632688769961206,0.4518130483597896,0.2700482197515084,14117,89.67729640452293
greene county,39,119,19519,8291,1691,4072,6.4,436,1317,831,10,46,76,24,8,155.93318478953628,Greene General District Court,079,51079,0.023063276167947958,20.395609697262092,25.783560023654644,0.7299498746867168,32.34282907662083,4.257390235155489,8.403361344537815,31.57894736842105,0.10526315789473684,125.17540782832648,0.17068777047545444,0.17681197972254767,16130,82.63743019621906
greensville county,154,263,11525,4190,974,2522,15.3,298,582,507,78,91,74,25,5,295.22705258761613,Greensville General District Court,081,51081,0.15811088295687886,23.24582338902148,30.59548254620123,1.1266490765171504,23.076923076923077,4.399132321041215,29.65779467680608,33.78378378378378,0.06756756756756757,39.03775043304903,0.11216722945334937,0.37814035867405627,4192,36.37310195227766
halifax county,180,409,34552,18212,3664,8134,13.9,1437,921,1331,86,192,175,45,20,817.7308347478507,Halifax General District Court,083,51083,0.04912663755458515,20.118603118822755,39.21943231441048,1.1090909090909091,11.322842389968034,3.8521648529752253,21.026894865525673,25.71428571428571,0.11428571428571428,42.25351244172441,0.27569097661033515,0.4627596350358722,20637,59.72736744616809
hampton city,7504,16079,135041,60140,23927,55780,15.2,11832,17743,13176,7909,14442,1247,500,232,51.4581294794366,Hampton General District Court,650,51650,0.3136205959794375,39.78550049883605,49.450411668826014,0.5620915032679739,31.808892076012906,9.757036751801305,49.1883823620872,40.0962309542903,0.18604651162790697,2624.2889387179202,0.376959159151259,0.2821492583965391,51544,38.16914862893492
hanover county,568,1257,105537,41357,6813,16893,5.3,2493,4029,6565,498,983,319,131,48,467.8856675055766,Hanover General District Court,085,51085,0.08337002788786144,16.473632033271272,36.591809775429326,0.5841733870967742,23.850115432427632,6.220567194443655,39.618138424821005,41.06583072100313,0.15047021943573669,225.56151498002905,0.2575785132760524,0.34533452583513236,88462,83.82084008452011
henrico county,10412,22988,327535,137141,47975,111916,9.1,22107,32340,18683,12569,20900,1605,617,383,233.67602499795268,Henrico General District Court,087,51087,0.21702970297029703,34.9822445512283,46.080250130276184,0.6059036768513724,28.896672504378284,5.704123223472301,54.67635287976336,38.442367601246104,0.23862928348909657,1401.6628364115218,0.5611079044803201,0.4039835763902052,173865,53.0828766391378
henry county,454,861,51308,26196,5956,13571,18.1,2259,2597,2028,100,487,365,115,45,382.35103049315165,Henry General District Court,089,51089,0.07622565480188045,22.73629561765155,37.92813969106783,1.18664047151277,19.13639378085624,3.9525999844078896,11.614401858304298,31.506849315068493,0.1232876712328767,134.1908244207517,0.26861842003185715,0.346953793684492,35831,69.83511343260311
highland county,6,6,2204,2006,184,384,10.1,49,44,20,NA,NA,5,NA,NA,415.1628735282606,Highland General District Court,091,51091,0.03260869565217391,9.172482552342972,26.6304347826087,0.665948275862069,11.458333333333332,0.9074410163339384,NA,NA,NA,5.308759863976544,0,0,2189,99.31941923774956
hopewell city,1389,2683,22456,10323,4912,12239,23.6,2178,3219,1278,960,2102,381,149,66,10.354360701502836,Hopewell General District Court,670,51670,0.28277687296416937,47.58306693790565,44.340390879478825,0.6916471506635441,26.301168396110793,5.6911293195582475,35.78084234066344,39.107611548556434,0.1732283464566929,2168.748090525833,0.19806455942098167,0.16685947777732213,10434,46.464196651229074
isle of wight county,657,1239,36627,15678,3532,8527,10.5,1365,1806,2254,681,1039,142,77,32,315.6799361356139,Isle of Wight General District Court,093,51093,0.18601359003397508,22.528383722413572,38.64665911664779,0.5425752855659398,21.179781869356162,6.153930160810331,54.9636803874092,54.22535211267606,0.22535211267605634,116.02574572324197,0.21304867973991437,0.2943102196553284,25885,70.67190870123133
king george county,185,378,26229,10078,1955,5654,5.1,747,2008,1110,82,135,121,48,20,179.62786547165987,King George General District Court,099,51099,0.09462915601023018,19.39869021631276,38.209718670076725,0.7068461088355764,35.51467987265652,4.231956994166762,21.693121693121693,39.66942148760331,0.1652892561983471,146.01854746271638,0.15676461787466373,0.2393461725905932,19258,73.422547561859
king william county,62,122,16688,6983,768,2225,8.4,174,273,1047,15,52,83,28,8,273.927597196296,King William General District Court,101,51101,0.08072916666666667,10.998138335958757,22.65625,0.6719442685243825,12.269662921348315,6.273969319271333,12.295081967213115,33.734939759036145,0.0963855421686747,60.92120754098905,0.30062496976783615,0.2692498422064466,12811,76.76773729626079
king and queen county,28,61,7042,3489,446,1220,12.4,69,184,301,7,14,52,10,4,315.1629604012466,King and Queen General District Court,097,51097,0.06278026905829596,12.783032387503582,15.47085201793722,0.9480901077375122,15.081967213114755,4.274353876739562,11.475409836065573,19.230769230769234,0.07692307692307693,22.343996233042574,0.2807461261740327,0.19314695887871416,4659,66.16018176654359
lancaster county,92,178,10724,7625,1222,2378,9.8,392,731,352,42,112,62,31,8,133.29747654052926,Lancaster General District Court,103,51103,0.07528641571194762,16.02622950819672,32.0785597381342,0.5887345679012346,30.740117746005048,3.282357329354718,23.595505617977526,50,0.12903225806451613,80.4516355321952,0.14335183312683158,0.36114783275827583,7237,67.48414770607982
lee county,98,205,23948,11798,2672,6532,25.5,1130,1788,949,12,60,115,27,9,435.37744130947937,Lee General District Court,105,51105,0.036676646706586824,22.647906424817766,42.290419161676645,1.0035971223021583,27.372933251684017,3.9627526306998497,5.853658536585367,23.47826086956522,0.0782608695652174,55.00514663316477,0.797720381003477,0.7209215846952213,22247,92.8971104058794
loudoun county,1779,3693,395134,133063,28237,75772,3.4,12223,20506,24420,1517,3294,519,159,68,515.7654631695026,Loudoun General District Court,107,51107,0.06300244360236569,21.22077512155896,43.28717639975918,0.34431964647394586,27.062767249115765,6.180181912971296,41.07771459518007,30.63583815028902,0.13102119460500963,766.11178571711,0.28335622198330096,0.3721194019203655,221708,56.109572954997546
louisa county,294,612,36040,17438,2768,7466,11.8,1145,1708,1385,236,459,180,59,15,496.13229921789986,Louisa General District Court,109,51109,0.10621387283236994,15.873379974767749,41.365606936416185,0.6462068965517241,22.877042593088667,3.8429522752497225,38.56209150326798,32.77777777777778,0.08333333333333333,72.64191437810692,0.23494376308550763,0.30908591091873966,28126,78.0410654827969
lunenburg county,58,128,12282,5995,1211,3226,16.4,529,276,316,10,28,91,18,4,431.69994062907085,Lunenburg General District Court,111,51111,0.04789430222956235,20.200166805671394,43.682906688687034,1.0058910162002945,8.555486670799752,2.5728708679368184,7.8125,19.78021978021978,0.04395604395604396,28.450316629885876,0.07548150890970882,0.43140515620948927,7296,59.40400586223742
lynchburg city,2198,4457,80569,32410,14499,35122,19.5,7070,9603,17574,1490,3147,883,360,250,48.97417559563304,Lynchburg General District Court,680,51680,0.1515966618387475,44.736192533168776,48.76198358507483,0.549711353431687,27.341837025226358,21.812359592399062,33.430558671752294,40.770101925254814,0.28312570781426954,1645.1323380149809,0.3932592689176009,0.27611987535112953,50230,62.344077747024286
madison county,39,78,13170,6079,1264,3321,6.6,442,717,461,2,27,61,19,2,320.63765042009265,Madison General District Court,113,51113,0.030854430379746837,20.792893568021057,34.96835443037975,0.39988358556461,21.58988256549232,3.5003796507213365,2.564102564102564,31.147540983606557,0.03278688524590164,41.07440278066205,0.02479246362976483,0.01441450604465618,11148,84.64692482915717
martinsville city,449,937,12852,7067,2439,5268,23.9,1150,1402,493,200,564,214,97,39,10.95627041684091,Martinsville General District Court,690,51690,0.1840918409184092,34.512522994198385,47.15047150471505,0.8541666666666666,26.613515565679574,3.835978835978836,21.344717182497334,45.32710280373832,0.1822429906542056,1173.0269070618374,0.35388366517724545,0.481984975883466,5654,43.993152816682226
mathews county,24,56,8788,5751,589,1339,11.4,305,321,197,5,21,41,15,3,85.91022329407613,Mathews General District Court,115,51115,0.04074702886247878,10.241697096157191,51.782682512733444,0.6539007092198581,23.9731142643764,2.241693218024579,8.928571428571429,36.58536585365854,0.07317073170731707,102.292831551818,0.34042619358604487,0.3629200097601585,7532,85.70778334091943
mecklenburg county,218,403,30728,18983,3495,8995,19,1129,1243,726,74,137,187,47,7,625.3095761328016,Mecklenburg General District Court,117,51117,0.06237482117310444,18.41121003002687,32.3032904148784,0.9639389736477115,13.818788215675376,2.36266597240302,18.36228287841191,25.13368983957219,0.0374331550802139,49.14045965845575,0.14338350605349218,0.23277101599846028,18439,60.00715959385576
middlesex county,41,76,10675,7320,982,2780,10,261,651,431,7,31,64,24,5,130.33038568787245,Middlesex General District Court,119,51119,0.04175152749490835,13.415300546448087,26.578411405295316,0.6224188790560472,23.41726618705036,4.037470725995316,9.210526315789473,37.5,0.078125,81.90722327459002,0.2469814517893764,0.23227160677727177,8278,77.54566744730678
montgomery county,992,1955,98140,40264,15927,39021,23.5,7005,16504,28978,754,1622,392,213,71,386.8440835693415,Montgomery/Christiansburg General District Court,121,51121,0.06228417153261757,39.556427577985296,43.9819174985873,0.5403050108932462,42.29517439327542,29.5272060321989,38.56777493606138,54.33673469387755,0.18112244897959184,253.69394070727333,0.26716958518795336,0.2543165302009245,81718,83.26676176890156
nelson county,58,113,14831,10175,1515,3438,13,406,369,510,13,24,80,22,5,470.7452246595264,Nelson General District Court,125,51125,0.03828382838283828,14.889434889434888,26.798679867986795,0.5348837209302325,10.732984293193718,3.4387431730834064,11.504424778761061,27.500000000000004,0.0625,31.505364734664585,0.3135054685843329,0.2883061851993891,12025,81.08016991436855
new kent county,56,100,21686,8480,1075,3190,6.9,470,843,1080,5,43,80,31,4,210.0357434074697,New Kent General District Court,127,51127,0.052093023255813956,12.67688679245283,43.72093023255814,0.4922027290448343,26.426332288401255,4.9801715392419075,5,38.75,0.05,103.24909297904178,0.02924248046744589,0.19446323391933656,17121,78.94955270681547
norfolk city,12855,26991,244601,97670,50014,120166,18.7,24925,39234,29129,12270,19438,2780,1013,677,53.27492662997177,Norfolk General District Court,710,51710,0.25702803215099773,51.20712603665404,49.836045907146,0.46651982378854623,32.64983439575254,11.90878205730966,45.459597643659,36.43884892086331,0.2435251798561151,4591.296797063831,0.524101863900207,0.31884971818854246,106261,43.44258608918197
northampton county,47,120,11885,7396,1792,4374,18,614,322,345,15,46,64,21,8,211.71896735741757,Northampton General District Court,131,51131,0.026227678571428572,24.229313142239047,34.263392857142854,0.5474234503360716,7.361682670324646,2.9028186790071517,12.5,32.8125,0.125,56.135735727144855,0.12532742424158724,0.0526621378475737,6445,54.22801851072781
northumberland county,43,75,12190,9277,603,1472,14.6,257,475,412,9,24,58,16,5,191.44027959047378,Northumberland General District Court,133,51133,0.07131011608623548,6.499946103266143,42.62023217247098,0.6514806378132119,32.26902173913043,3.3798195242001645,12,27.586206896551722,0.08620689655172414,63.675209971886105,0.1761813573066272,0.3067341995839688,8499,69.72108285479901
nottoway county,122,267,15433,6775,1924,4705,18.3,769,816,569,53,155,132,44,16,314.3897004777744,Nottoway General District Court,135,51135,0.06340956340956341,28.398523985239855,39.96881496881497,1.070931849791377,17.3432518597237,3.6869046847664095,19.850187265917604,33.33333333333333,0.12121212121212122,49.088758240319734,0.19583749727935165,0.15112081772372346,8383,54.318667789801076
orange county,204,400,36010,15142,2902,8256,8.2,1141,2419,1727,71,194,219,81,17,341.11175375670643,Orange General District Court,137,51137,0.07029634734665748,19.165235768062345,39.31771192281185,0.6058931860036832,29.299903100775193,4.795890030547071,17.75,36.986301369863014,0.0776255707762557,105.56657635926456,0.17909834284404885,0.07909598104549137,28117,78.08108858650374
page county,159,379,23788,11747,2686,6994,15.1,1025,1602,843,18,111,225,52,13,310.02061476653114,Page General District Court,139,51139,0.05919583023082651,22.865412445730826,38.1608339538347,0.6220472440944882,22.905347440663427,3.5438035984530014,4.749340369393139,23.11111111111111,0.057777777777777775,76.73038135839501,0.5313556792500485,0.2438782083099772,22376,94.06423406759711
patrick county,52,118,17748,10224,1631,3595,14.2,586,797,681,7,47,69,15,5,482.95439774414405,Patrick General District Court,141,51141,0.03188228080931944,15.95266040688576,35.928877988963826,0.8047752808988764,22.169680111265645,3.8370520622041924,5.932203389830509,21.73913043478261,0.07246376811594203,36.74881123952908,0.2162451007654289,0.19665560420443096,15921,89.70588235294117
petersburg city,3237,7333,31362,16367,8053,18071,24.1,4119,6270,1711,3218,6403,667,254,160,22.720288174297018,Petersburg General District Court,730,51730,0.40196200173848257,49.202663896865644,51.148640258288836,0.7273425499231951,34.69647501521776,5.455646961290734,43.88381290058639,38.08095952023988,0.239880059970015,1380.3522102980705,0.3260390541877093,0.45736765367118065,4726,15.06919201581532
pittsylvania county,342,699,61256,31650,6467,15336,16.1,2289,3833,2249,132,309,291,91,34,969.0027772714477,Pittsylvania General District Court,143,51143,0.05288387196536261,20.432859399684045,35.39508272769445,0.9744623655913979,24.993479394887846,3.671477079796265,18.88412017167382,31.27147766323024,0.11683848797250859,63.215505091210176,0.229625103588191,0.3015646833070966,45367,74.06131644247094
portsmouth city,5780,11579,95097,40907,16371,39942,16.8,8462,9612,5887,4711,9275,1613,606,300,33.30062018431668,Portsmouth General District Court,740,51740,0.3530633437175493,40.02004546899064,51.68896218923707,0.49809885931558934,24.064894096439836,6.190521257242605,40.68572415579929,37.56974581525109,0.1859888406695598,2855.712580535874,0.5146772530974173,0.3828222511792751,35818,37.66470025342545
powhatan county,98,186,28815,10893,1012,2645,5.4,260,304,1180,21,51,127,24,14,260.2049271963836,Powhatan General District Court,145,51145,0.09683794466403162,9.290369962361149,25.691699604743086,0.4673342870767763,11.493383742911153,4.0950893631789,11.29032258064516,18.89763779527559,0.11023622047244094,110.73964013853032,0.5345854922279791,0.3326623995138895,24704,85.73312510845045
prince edward county,254,525,22905,9435,2560,6267,18.6,1056,981,5492,94,312,171,47,25,349.96144229388545,Prince Edward General District Court,147,51147,0.09921875,27.133015368309486,41.25,0.9683544303797469,15.653422690282431,23.977297533289672,17.904761904761905,27.485380116959064,0.14619883040935672,65.45006744133023,0.10884723466663836,0.5202454888789385,14074,61.44509932329186
prince george county,701,1451,38114,12475,3733,11918,8.1,1648,3384,2544,555,1076,173,91,30,265.3418511845672,Prince George General District Court,149,51149,0.18778462362710957,29.923847695390783,44.14679882132333,0.8198529411764706,28.394025843262295,6.674712703993284,38.24948311509304,52.601156069364166,0.17341040462427745,143.64111741079458,0.2095961180571166,0.4252007674833781,20912,54.866978013328435
prince william county,5551,11397,461423,148874,37939,116581,6.6,18583,29637,34169,4039,9678,1682,427,246,335.74465651019784,Prince William General District Court,153,51153,0.14631381955243944,25.48396630707847,48.98125939007354,0.42718204488778055,25.421809728858047,7.405135851485513,35.4391506536808,25.386444708680145,0.14625445897740785,1374.3271592052422,0.3677847435078968,0.4523744234721179,198161,42.94562689766223
pulaski county,457,759,34182,17304,4163,9469,14.8,1238,2239,1370,103,523,268,121,42,319.8381629629881,Pulaski General District Court,155,51155,0.10977660341100168,24.05802126675913,29.738169589238527,0.7523809523809524,23.64558031471116,4.007957404481891,13.570487483530963,45.149253731343286,0.15671641791044777,106.87279992899272,0.19824315539291856,0.4261125407357655,31029,90.77584693698438
radford city,235,475,17691,6518,2977,7874,36.3,1566,2903,7231,68,377,109,60,20,9.676386930117555,Radford General District Court,750,51750,0.07893852872018811,45.673519484504446,52.603291904601946,0.6102263202011735,36.86817373634747,40.873890678876265,14.315789473684209,55.04587155963303,0.1834862385321101,1828.2650464231774,0.3614155344965987,0.2541558435545184,14735,83.29093889548358
rappahannock county,7,20,7378,3979,751,2058,8.8,315,233,243,NA,2,19,2,NA,266.3722369998534,Rappahannock General District Court,157,51157,0.009320905459387484,18.874088967077153,41.944074567243675,0.4361306324927656,11.321671525753159,3.293575494714015,NA,10.526315789473683,NA,27.698081763693942,0.18511580030880084,0.0902703352156674,6525,88.43860124695038
richmond city,15134,32208,226622,100458,51807,124883,23.2,26886,36119,26574,15285,25933,2379,1228,681,59.92305022559756,Richmond City General District Court,760,51760,0.29212268612349684,51.57080570984889,51.89646186808733,0.4397254397254397,28.92227124588615,11.726134267635093,47.45715350223547,51.618327028163094,0.2862547288776797,3781.8835848111253,0.5834709022996993,0.6703701124682198,92454,40.796568735603785
richmond county,35,72,8884,3962,923,2186,17.3,395,516,454,6,34,45,14,6,191.47787783272054,Richmond County General District Court,159,51159,0.03791982665222102,23.296314992428066,42.79523293607801,0.7109723461195361,23.604757548032936,5.110310670868978,8.333333333333332,31.11111111111111,0.13333333333333333,46.39700471174673,0.00954045985571916,0.17383410560439752,5380,60.558307068887885
roanoke city,3704,7333,99229,47010,20261,46523,20.8,9897,13520,4622,2022,5540,1306,554,304,42.521221236499116,Roanoke City General District Court,770,51770,0.18281427372785153,43.09934056583706,48.84753960811411,0.5814285714285714,29.060894611267546,4.657912505416763,27.57398063548343,42.41960183767228,0.2327718223583461,2333.634761995603,0.5895600260026743,0.34927687998012363,58052,58.50305858166463
roanoke county,590,1176,93823,40924,9631,20287,6.9,3826,5148,4370,282,878,378,154,59,250.5441268243665,Roanoke County General District Court,161,51161,0.061260512927006544,23.533867657120517,39.725885162496105,0.500261643118786,25.37585645980184,4.65770653251335,23.97959183673469,40.74074074074074,0.15608465608465608,374.4769481895327,0.3043066291669718,0.3661680110213459,80507,85.8073180350234
russell county,69,138,27141,13547,2580,5988,21.1,812,998,917,3,52,103,34,3,473.52353124711266,Russell General District Court,167,51167,0.026744186046511628,19.044806968332473,31.472868217054263,0.9525368248772504,16.666666666666664,3.3786522235731917,2.1739130434782608,33.00970873786408,0.02912621359223301,57.317109307153345,0.4719022040191592,0.3813585436462878,26248,96.70977487933385
