county_collapsed,dissim_wb,dissim_wh,cowhite
Frederick County,0.2651925554260613,0.32652007561521695,73410
Fredericksburg city,0.2743749853120217,0.2519017716661198,15795
Galax city,0.16693596778507966,0.10968212218740611,5076
Giles County,0.16156006638580367,0.37547874377633084,15666
Gloucester County,0.19927651658489307,0.27786803491405204,32546
Goochland County,0.2256583094559702,0.16943995225142577,19847
Grayson County,0.5064564351329333,0.22047286917858544,13480
Greene County,0.1516385526778507,0.2901225825740767,16578
Greensville County,0.18252746290164082,0.17303532241902397,3997
Halifax County,0.33249703370847994,0.474405648995813,20130
Hampton city,0.3798420485393774,0.35938044607346775,49231
Hanover County,0.2554521716732364,0.419708438639439,90634
Harrisonburg and Rockingham County,0.5524011084583165,0.6208899108770973,103882
Henrico County,0.55854368288784,0.41583901660321837,167297
Henry County,0.18905437180559798,0.23170198946106363,34218
Highland County,0,0,2139
Hopewell city,0.16525736481038572,0.207602676220086,9547
Isle of Wight County,0.19986279825246347,0.36204374222807406,27342
King George County,0.15939967250869455,0.2563695958632131,18988
King William County,0.11193381980061022,0.20988322415266308,14044
King and Queen County,0.1445530599486482,0.15700279625544922,4429
Lancaster County,0.19184136957610526,0.21897424738646074,7321
Lee County,0.8738350447116926,0.6422618050645212,20243
Lexington and Rockbridge County,0.6271989492104815,0.5838202585629733,26011
Loudoun County,0.2914317842917225,0.3485776070144724,222395
Louisa County,0.26564911548181136,0.48180555284369575,29651
Lunenburg County,0.10421835429927713,0.2925689362981261,6919
Lynchburg city,0.35597292742972986,0.266781374652978,48062
Madison County,0.207354389034243,0.2728939604515641,11718
Manassas Park city,0.24954388511790324,0.18396285071478802,4634
Manassas city,0.14641944809965995,0.2479583394384993,14713
Martinsville city,0.29005079696971586,0.4527186384729596,5669
Mathews County,0.3465158593309464,0.1089570594062788,7218
Mecklenburg County,0.27750167983489876,0.4548372345676183,18377
Middlesex County,0.296114578491231,0.36123290458858753,8402
Montgomery County,0.3216499785410796,0.39387644006270095,80834
Nelson County,0.28437398297606786,0.4557326506347412,11804
New Kent County,0.2392006980098197,0.1457698822772589,18524
Newport News County and City,0.387300424332928,0.425091738786293,73541
Norfolk city,0.5245448682166396,0.26951160646630284,97557
Northampton County,0.1884211055841206,0.16837416481069045,6735
Northumberland County,0.3114510225144541,0.43569610102210843,8237
Norton and Wise County,0.5717715215725083,0.3310946402974948,35780
Nottoway County,0.22130585146159337,0.22705678126024298,8436
Orange County,0.29414946410374476,0.2190993797183569,28024
Page County,0.5114915154207432,0.4579241076577102,21947
Patrick County,0.27600806759852553,0.4248026030067484,15731
Petersburg city,0.2790228403585549,0.5163900888089936,4888
Pittsylvania County,0.19714266918628087,0.45277978247996603,44162
Poquoson city,0.40440388871358623,0.15928163997765998,11145
Portsmouth city,0.4995400359217244,0.4519687753748037,34957
Powhatan County,0.3586291339763622,0.335630444854774,26356
Prince Edward County,0.2589135393433897,0.25446788427957906,13117
Prince George County,0.2697213979575648,0.3569495545276545,22268
Prince William County,0.42519276483180957,0.4368875980343425,188367
Pulaski County,0.28812833809401217,0.33729950193590597,30352
Radford city,0.3584189597920403,0.2303516427753792,13424
Rappahannock County,0.04932123829231774,0.37663978857653035,6347
Richmond County,0.14312298743276236,0.023463855674076772,5466
Richmond city,0.5894829106585454,0.6234089471344249,93413
Roanoke County,0.35120921819224366,0.2541556257783267,80473
Roanoke city,0.5832920955924475,0.46739954696100156,54810
Russell County,0.3999612589662014,0.6431325981652174,24810
Salem city,0.36285330936491667,0.30938234921780283,20986
Scott County,0.4163031489515607,0.1859748702275263,20613
Shenandoah County,0.3076860841958004,0.3835600321394804,37685
Smyth County,0.32836043186367203,0.4741036992244817,27717
Southampton County,0.21966770381477793,0.5935980331199403,10862
Spotsylvania County,0.25386653684128385,0.2215940952810555,90118
Stafford County,0.331453143658429,0.2935387823620584,86141
Staunton city,0.28947600334472023,0.2921113414464557,20325
Suffolk city,0.40294094858426244,0.29105857917495465,44937
Surry County,0.0071684546666496984,0.09873206226343623,3566
Sussex County,0.2272100570910277,0.4667808076168205,4354
Tazewell County,0.600639663146394,0.5108526104376727,37114
Virginia Beach city,0.4106586728442278,0.3362939752402169,271315
Warren County,0.38085891032186636,0.43684199657594475,33857
Washington County,0.558547122524719,0.3202387291826142,50885
Waynesboro city,0.29213048461310054,0.32309426326002993,16386
Westmoreland County,0.3225741216002713,0.4134804213873981,11700
Williamsburg and James City County,0.6319023334852423,0.4601039017176477,68490
Winchester city,0.1977017712325171,0.19471010558924579,17552
Wythe County,0.4931259789692692,0.4110278132146149,26294
York County,0.27350982172929494,0.3458827650371441,47260
